Id,Sheep Breed,Any Diseases,Output
1,Chokla,None,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately."
2,Chokla,Sheep Lice,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease might lead to decreased wool value from cotton fleeces,decresased fibre length, fleece weight, staple strength, style and colour."
3,Chokla,Sheep worms,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease might lead to reduced wool value from cotton fleeces,decreased fibre length, fleece weight, staple strength,style and colour"
4,Chokla,Flystrike,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately.With this disease,The wool around the affected area may become matted and discolored, and the wool fibers may break down due to the presence of maggots and their secretions. The wool may also become contaminated with urine and fecal material, which can provide an effective breeding ground for maggots even in the relative absence of wounds"
5,Chokla,Acidosis,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease might lead to decrease in wool quality and quantity as well as reduction in wool fibre diameter "
6,Chokla,Annual ryegrass toxicity(ARGT),"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease might lead to reduce wool fiber diameter, staple strength, weight gain, and lambing percentages "
7,Chokla,Arthritis,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. Young lambs are the most susceptible to developing arthritis following spread of infection from the navel or infected marking, mulesing and/or shearing wounds "
8,Chokla,Botulism,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease does not affect wool quality"
9,Chokla,Cheesy gland(CLA),"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease can lead to lose around 4-7% of their clean wool production "
10,Chokla,Cobalt deficiency,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease might result in poor coat of wool"
11,Chokla,Coccidiosis,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. diarrhea caused by coccidiosis can also lead to heavily soiled fleece and an increased risk of flystrike "
12,Chokla,Copper deficiency,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. copper deficiency may result in a poor fleece without its natural “crimp” which has been described as “steely wool”"
